date,base,quote,rate,source,fetched_at
2025-10-27,USD,COP,3878.214039,exchangerate.host,2025-10-27T15:38:54-05:00
2025-10-28,USD,COP,3867.855243,exchangerate.host,2025-10-28T09:31:21-05:00
2025-10-29,USD,COP,3858.479304,exchangerate.host,2025-10-29T09:31:39-05:00
2025-10-30,USD,COP,3897.717959,exchangerate.host,2025-10-30T09:30:32-05:00
2025-10-31,USD,COP,3889.095067,exchangerate.host,2025-10-31T09:30:45-05:00
2025-11-01,USD,COP,3884.337452,exchangerate.host,2025-11-01T09:24:19-05:00
2025-11-02,USD,COP,3884.388023,exchangerate.host,2025-11-02T09:24:29-05:00
2025-11-03,USD,COP,3869.707695,exchangerate.host,2025-11-03T09:30:23-05:00
2025-11-04,USD,COP,3861.877248,exchangerate.host,2025-11-04T09:31:09-05:00
2025-11-05,USD,COP,3867.711865,exchangerate.host,2025-11-05T09:30:51-05:00
2025-11-06,USD,COP,3862.033566,exchangerate.host,2025-11-06T09:30:37-05:00
2025-11-07,USD,COP,3832.971474,exchangerate.host,2025-11-07T09:29:08-05:00
2025-11-08,USD,COP,3835.32907,exchangerate.host,2025-11-08T09:25:06-05:00
2025-11-09,USD,COP,3835.001549,exchangerate.host,2025-11-09T09:23:49-05:00
2025-11-10,USD,COP,3779.471886,exchangerate.host,2025-11-10T09:30:09-05:00
2025-11-11,USD,COP,3778.565559,exchangerate.host,2025-11-11T09:30:51-05:00
2025-11-12,USD,COP,3746.825701,exchangerate.host,2025-11-12T09:31:31-05:00
2025-11-13,USD,COP,3739.608488,exchangerate.host,2025-11-13T09:28:59-05:00
2025-11-14,USD,COP,3706.533653,exchangerate.host,2025-11-14T09:29:46-05:00
2025-11-15,USD,COP,3706.331819,exchangerate.host,2025-11-15T09:25:25-05:00
2025-11-16,USD,COP,3705.979456,exchangerate.host,2025-11-16T09:25:24-05:00
2025-11-17,USD,COP,3752.331128,exchangerate.host,2025-11-17T09:30:50-05:00
2025-11-18,USD,COP,3761.428421,exchangerate.host,2025-11-18T09:31:01-05:00
